number,latitude,longitude,meters
1021,53.83977765017629,27.62735545722535,200.615
1031,53.8398156331543,27.625381351390388,201.395
1041,53.83990425996906,27.623750568309333,199.850
1061,53.84084116053746,27.622377277293708,188.985
1071,53.84029674789384,27.622141242900398,192.512
1081,53.83989159900703,27.622227073588874,196.641
1091,53.83982829413934,27.622892261424568,198.708
1101,53.84066391068643,27.623450160899665,194.264
1111,53.8413475845488,27.623750568309333,189.256
1121,53.841043730877004,27.624244094768073,192.313
1131,53.84010683484123,27.624759078898933,199.099
1141,53.840714553577556,27.624179721751716,194.834
1151,53.840955106474055,27.62484490958741,194.026
1161,53.840613267734014,27.625381351390388,196.714
1171,53.840271426203245,27.625939250865486,198.503
1181,53.8398156331543,27.626239658275153,200.817
1191,53.84000554752766,27.62679755775025,199.209
1201,53.84057528547954,27.627140880504157,195.971
1211,53.84115767626234,27.627140880504157,195.074
1221,53.841372905588585,27.625939250865486,192.690
1231,53.840917124529625,27.62632548896363,194.943
1241,53.84068923213964,27.62658298102906,195.647
1251,53.840461338509336,27.627741695323493,197.281
1261,53.839967564721896,27.628449798503425,199.582
1271,53.83966370103547,27.628664375224616,200.624
1281,53.83971434513634,27.62982308951905,200.478
1291,53.8403220695691,27.629458309093025,198.908
1301,53.840777857105365,27.62879312125733,196.704
1311,53.8412209791202,27.628020645061042,195.080
1321,53.8416387755818,27.628514171519782,193.857
1331,53.84184134206254,27.629393936076667,193.598
1341,53.84237307441178,27.6295441397815,192.799
1351,53.8425249966998,27.6285356291919,192.128
1361,53.842157850226755,27.62761294929078,192.342
1371,53.84172739853769,27.626518608012702,192.631
1381,53.84203124724818,27.625703216472175,189.243
1391,53.84206922818195,27.6246088751941,186.611
1401,53.843018740328844,27.625252605357673,184.451
1411,53.84272755889303,27.626239658275153,188.626
1421,53.843044060358004,27.62759149161866,190.752
1431,53.84346183862826,27.62855708686402,192.224
1441,53.84391759198677,27.62784898368409,191.841
1451,53.843778334542485,27.626926303782966,189.266
1461,53.84356311758112,27.62630403129151,187.431
1471,53.844436638380266,27.626153827586677,187.643
1481,53.84508227247446,27.62583196250489,187.661
1491,53.845234184931996,27.626690269389655,190.940
1501,53.84472780792989,27.62709796515992,190.841
1511,53.84562662289587,27.62780606833985,192.765
1521,53.8459684207058,27.627183795848396,193.755
1531,53.84524684427856,27.627462745585945,191.829
1541,53.83976593880908,27.630529850939638,200.304
1551,53.84002232331386,27.630315274218447,199.788
1561,53.84028820188291,27.63024017236603,199.395
1571,53.84011411491543,27.63020798585785,199.657
1581,53.839959018643796,27.63018652818573,199.875
1591,53.839905209599024,27.629880756358034,199.944
1601,53.83978493030771,27.62951061151398,200.275
1611,53.83973428629221,27.62899026296509,200.420
1621,53.839959018643796,27.62898489854706,199.703
1631,53.84023755847612,27.628974169711,198.724
1641,53.84004131469619,27.629312128046877,199.541
1651,53.83995268817155,27.62927457712067,199.784
1661,53.84018374978927,27.629843205431825,199.497
1671,53.84003181900612,27.629682272890932,199.691
1681,53.840234393261156,27.62850210092438,198.446
1691,53.840383158105595,27.628400176981813,197.790
1701,53.84054141799818,27.628389448145754,197.091
1711,53.84050976606752,27.628099769572145,197.222
1721,53.840354671261395,27.628072947481996,197.921
1731,53.84016792369174,27.628078311900026,198.708
1741,53.83997167958548,27.628067583063967,199.582
1751,53.83980708704522,27.628094405154116,200.251
